,Country,Happiness score,GDP per capita,Family,Healthy life expectancy,Freedom to make life choices,Perceptions of corruption,Generosity,Social support,Year,Country Url,Region,Region code,Happiness status,Overall Rank,Rank per region,Capital City,Longitude,Latitude
388,Jordan,5.335999966,0.9910123940000001,1.239088893,0.604590058,0.418421149,0.11980327199999999,0.17217046,1.791176558,2017,https://upload.wikimedia.org/wikipedia/commons/c/c0/Flag_of_Jordan.svg,ASIA,142.0,Amber,74.0,18.0,Amman,35.9263,31.9497
389,Hungary,5.323999882,1.286011934,1.343133092,0.687763453,0.175863519,0.036636937,0.078401662,1.716459274,2017,https://upload.wikimedia.org/wikipedia/commons/c/c1/Flag_of_Hungary.svg,EUROPE,150.0,Amber,75.0,30.0,Budapest,19.0408,47.4984
390,Jamaica,5.31099987,0.9255793090000001,1.3682180640000001,0.641022384,0.474307239,0.055267780999999995,0.233818337,1.6123256680000002,2017,https://upload.wikimedia.org/wikipedia/commons/0/0a/Flag_of_Jamaica.svg,AMERICAS,19.0,Amber,76.0,19.0,Kingston,-76.792,17.9927
391,Croatia,5.293000221000001,1.222556233,0.9679830070000001,0.7012885209999999,0.255772293,0.04310311,0.248002976,1.854492426,2017,https://upload.wikimedia.org/wikipedia/commons/1/1b/Flag_of_Croatia.svg,EUROPE,150.0,Amber,77.0,31.0,Zagreb,15.9614,45.8069
392,Kosovo,5.278999805,0.9514843820000001,1.1378535029999999,0.54145205,0.260287941,0.057471617999999995,0.319931448,2.010540724,2017,https://upload.wikimedia.org/wikipedia/commons/1/1f/Flag_of_Kosovo.svg,,,Amber,78.0,1.0,Pristina,20.926,42.565
393,China,5.2729997630000005,1.0811657909999999,1.160837412,0.741415501,0.472787708,0.022794275,0.028806841,1.7649385930000001,2017,https://upload.wikimedia.org/wikipedia/commons/f/fa/Flag_of_the_People%27s_Republic_of_China.svg,ASIA,142.0,Amber,79.0,19.0,Beijing,116.286,40.0495
394,Pakistan,5.269000053,0.7268835309999999,0.67269069,0.402047783,0.23521526199999998,0.12434806699999999,0.31544601899999997,2.79248929,2017,https://upload.wikimedia.org/wikipedia/commons/3/32/Flag_of_Pakistan.svg,ASIA,142.0,Amber,80.0,20.0,Islamabad,72.8,30.5167
395,Indonesia,5.262000083999999,0.995538592,1.274444699,0.492345721,0.443323463,0.015317135,0.6117045879999999,1.429476976,2017,https://upload.wikimedia.org/wikipedia/commons/9/9f/Flag_of_Indonesia.svg,ASIA,142.0,Amber,81.0,21.0,Jakarta,106.83,-6.19752
396,Venezuela,5.25,1.128431201,1.431337595,0.617144227,0.153997123,0.064491123,0.06501963,1.7894637580000001,2017,https://upload.wikimedia.org/wikipedia/commons/0/06/Flag_of_Venezuela.svg,AMERICAS,19.0,Amber,82.0,20.0,,,
397,Montenegro,5.236999989,1.121129036,1.238376498,0.667464674,0.194989055,0.088174194,0.197911024,1.729191542,2017,https://upload.wikimedia.org/wikipedia/commons/6/64/Flag_of_Montenegro.svg,EUROPE,150.0,Amber,83.0,32.0,Podgorica,19.2595,42.4602
398,Morocco,5.235000134,0.878114581,0.774864435,0.597710669,0.408158332,0.08776318300000001,0.032209955,2.456189394,2017,https://upload.wikimedia.org/wikipedia/commons/2/2c/Flag_of_Morocco.svg,AFRICA,2.0,Amber,84.0,4.0,Rabat,-6.8704,33.9905
399,Azerbaijan,5.234000206,1.153601766,1.152400255,0.540775776,0.398155838,0.180987507,0.04526934,1.7624816890000001,2017,https://upload.wikimedia.org/wikipedia/commons/d/dd/Flag_of_Azerbaijan.svg,ASIA,142.0,Amber,85.0,22.0,Baku,49.8932,40.3834
400,Dominican Republic,5.230000018999999,1.0793738370000001,1.402416706,0.574873745,0.552589834,0.11394525300000001,0.18696785,1.31946516,2017,https://upload.wikimedia.org/wikipedia/commons/9/9f/Flag_of_the_Dominican_Republic.svg,AMERICAS,19.0,Amber,86.0,21.0,Santo Domingo,-69.8908,18.479
401,Greece,5.2270002369999995,1.2894874809999999,1.239414573,0.810198903,0.09573125099999999,0.043289777,0.0,1.749221563,2017,https://upload.wikimedia.org/wikipedia/commons/5/5c/Flag_of_Greece.svg,EUROPE,150.0,Amber,87.0,33.0,Athens,23.7166,37.9792
402,Lebanon,5.224999905,1.0749875309999999,1.129624248,0.735081077,0.288515985,0.03751383,0.264450759,1.695073843,2017,https://upload.wikimedia.org/wikipedia/commons/5/59/Flag_of_Lebanon.svg,ASIA,142.0,Amber,88.0,23.0,Beirut,35.5134,33.8872
403,Portugal,5.195000172,1.315175295,1.3670430180000002,0.7958435420000001,0.4984653,0.015869452,0.095102713,1.107682705,2017,https://upload.wikimedia.org/wikipedia/commons/5/5c/Flag_of_Portugal.svg,EUROPE,150.0,Amber,89.0,34.0,Lisbon,-9.13552,38.7072
404,Bosnia and Herzegovina,5.18200016,0.9824094179999999,1.069335938,0.7051863070000001,0.204403177,0.0,0.328867495,1.892172575,2017,https://upload.wikimedia.org/wikipedia/commons/b/bf/Flag_of_Bosnia_and_Herzegovina.svg,,,Amber,90.0,2.0,Sarajevo,18.4214,43.8607
405,Honduras,5.181000233,0.730573118,1.143944979,0.58256948,0.34807986,0.073345453,0.236188874,2.0658111569999997,2017,https://upload.wikimedia.org/wikipedia/commons/8/82/Flag_of_Honduras.svg,AMERICAS,19.0,Amber,91.0,22.0,Tegucigalpa,-87.4667,15.1333
406,Macedonia,5.1750001910000005,1.0645779370000001,1.2078930140000002,0.644948184,0.325905979,0.060277794,0.253760964,1.617469311,2017,https://upload.wikimedia.org/wikipedia/commons/f/f8/Flag_of_Macedonia.svg,EUROPE,150.0,Amber,92.0,35.0,,,
407,Somalia,5.151000023,0.022643184,0.721151352,0.11398913699999999,0.602126956,0.282410324,0.291631311,3.11748457,2017,https://upload.wikimedia.org/wikipedia/commons/a/a0/Flag_of_Somalia.svg,AFRICA,2.0,Amber,93.0,5.0,Mogadishu,45.3254,2.07515
